date,open,high,low,close,volume,adj_close,ma5,ma25,ma75,ma200,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,atr14
2024-08-14,2007.0,2048.75,1981.25,2003.5,70188400,1987.96,1987.96,1987.96,1987.96,1987.96,50.0,0.0,0.0,0.0,1987.96,1987.96,1987.96,
2024-08-15,2013.5,2074.5,2009.0,2046.75,63995200,2030.88,2009.42,2009.42,2009.42,2009.42,50.0,3.42,0.68,2.74,2052.34,2009.42,1966.5,
2024-08-16,2137.5,2169.5,2080.75,2112.5,67458400,2096.12,2038.32,2038.32,2038.32,2038.32,50.0,11.27,2.8,8.47,2127.26,2038.32,1949.38,
2024-08-19,2087.0,2166.5,2064.0,2068.75,73926000,2052.7,2041.92,2041.92,2041.92,2041.92,50.0,13.83,5.01,8.82,2119.94,2041.92,1963.89,
2024-08-20,2125.0,2149.75,2095.5,2132.0,62195600,2115.46,2056.62,2056.62,2056.62,2056.62,50.0,20.68,8.14,12.54,2147.9,2056.62,1965.35,
2024-08-21,2107.5,2145.75,2097.75,2132.25,54622400,2115.71,2082.17,2066.47,2066.47,2066.47,50.0,25.83,11.68,14.15,2160.72,2066.47,1972.22,
2024-08-22,2112.0,2136.75,2079.5,2105.0,54116800,2088.67,2093.73,2069.64,2069.64,2069.64,50.0,27.42,14.83,12.59,2158.27,2069.64,1981.01,
2024-08-23,2106.25,2130.25,2075.25,2118.5,47720000,2102.07,2094.92,2073.7,2073.7,2073.7,50.0,29.42,17.75,11.67,2159.33,2073.7,1988.06,
2024-08-26,2125.0,2131.25,2097.75,2127.5,37248800,2111.0,2106.58,2077.84,2077.84,2077.84,50.0,31.36,20.47,10.89,2161.91,2077.84,1993.77,
2024-08-27,2106.25,2162.0,2102.0,2135.25,55722000,2118.69,2107.23,2081.93,2081.93,2081.93,50.0,33.14,23.0,10.14,2165.36,2081.93,1998.49,
2024-08-28,2134.5,2144.0,2076.25,2086.25,50198400,2070.07,2098.1,2080.85,2080.85,2080.85,50.0,30.27,24.46,5.82,2160.7,2080.85,2001.0,
2024-08-29,2052.75,2061.75,2033.25,2036.25,65524800,2020.46,2084.46,2075.82,2075.82,2075.82,50.0,23.73,24.31,-0.58,2159.23,2075.82,1992.4,
2024-08-30,2067.75,2104.75,2065.25,2101.25,47589600,2084.95,2081.03,2076.52,2076.52,2076.52,50.0,23.48,24.14,-0.67,2156.81,2076.52,1996.23,
2024-09-02,2135.0,2151.0,2097.5,2120.25,37861200,2103.81,2079.6,2078.47,2078.47,2078.47,50.0,24.51,24.22,0.3,2157.11,2078.47,1999.83,67.86
2024-09-03,2128.75,2138.75,2108.25,2108.25,27645600,2091.9,2074.24,2079.36,2079.36,2079.36,75.62,24.1,24.19,-0.1,2155.63,2079.36,2003.1,65.51
2024-09-04,1990.75,2004.5,1927.5,1945.25,61224800,1930.16,2046.26,2070.04,2070.04,2070.04,56.09,10.59,21.47,-10.88,2173.34,2070.04,1966.74,72.58
2024-09-05,1929.25,1977.25,1923.25,1961.5,50670400,1946.29,2031.42,2062.76,2062.76,2062.76,57.28,1.18,17.42,-16.23,2178.67,2062.76,1946.85,71.25
2024-09-06,1974.75,1983.0,1906.75,1927.0,40740400,1912.05,1996.84,2054.39,2054.39,2054.39,53.95,-8.94,12.14,-21.08,2186.5,2054.39,1922.27,71.61
2024-09-09,1852.5,1924.25,1849.25,1923.0,44627200,1908.09,1957.7,2046.69,2046.69,2046.69,53.56,-17.08,6.3,-23.38,2190.93,2046.69,1902.45,71.85
