date,open,high,low,close,volume,adj_close,ma5,ma25,ma75,ma200,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,atr14
2024-08-14,1028.0,1044.0,1024.0,1034.5,3426300,961.53,961.53,961.53,961.53,961.53,50.0,0.0,0.0,0.0,961.53,961.53,961.53,
2024-08-15,1040.0,1053.5,1032.5,1047.5,2666500,973.61,967.57,967.57,967.57,967.57,50.0,0.96,0.19,0.77,979.65,967.57,955.49,
2024-08-16,1069.0,1072.5,1049.0,1057.0,2837000,982.44,972.53,972.53,972.53,972.53,50.0,2.41,0.64,1.78,989.67,972.53,955.39,
2024-08-19,1055.0,1059.0,1044.5,1047.5,2073500,973.61,972.8,972.8,972.8,972.8,50.0,2.81,1.07,1.74,987.67,972.8,957.92,
2024-08-20,1055.5,1055.5,1047.0,1050.0,1918700,975.94,973.43,973.43,973.43,973.43,50.0,3.28,1.51,1.77,986.97,973.43,959.89,
2024-08-21,1043.0,1048.0,1038.5,1046.0,1839000,972.22,975.56,973.22,973.22,973.22,50.0,3.32,1.88,1.44,985.62,973.22,960.83,
2024-08-22,1045.0,1045.5,1036.0,1042.5,1511300,968.96,974.63,972.62,972.62,972.62,50.0,3.05,2.11,0.94,984.47,972.62,960.76,
2024-08-23,1048.0,1060.0,1046.0,1060.0,2216600,985.23,975.19,974.19,974.19,974.19,50.0,4.1,2.51,1.59,988.07,974.19,960.31,
2024-08-26,1055.5,1059.0,1046.0,1047.0,1467100,973.15,975.1,974.08,974.08,974.08,50.0,3.91,2.79,1.12,987.18,974.08,960.98,
2024-08-27,1053.5,1057.5,1046.0,1049.5,1933600,975.47,975.01,974.22,974.22,974.22,50.0,3.9,3.01,0.89,986.67,974.22,961.76,
2024-08-28,1046.0,1047.0,1039.5,1046.5,1820500,972.68,975.1,974.08,974.08,974.08,50.0,3.63,3.13,0.5,985.99,974.08,962.17,
2024-08-29,1046.0,1050.5,1042.0,1043.0,2037300,969.43,975.19,973.69,973.69,973.69,50.0,3.12,3.13,-0.01,985.38,973.69,962.0,
2024-08-30,1050.0,1050.0,1045.0,1048.5,3426900,974.54,973.05,973.75,973.75,973.75,50.0,3.09,3.12,-0.04,984.99,973.75,962.52,
2024-09-02,1054.5,1066.5,1052.0,1061.0,2176400,986.16,975.66,974.64,974.64,974.64,50.0,3.96,3.29,0.67,987.22,974.64,962.07,58.11
2024-09-03,1064.5,1084.0,1063.0,1082.0,2895800,1005.68,981.7,976.71,976.71,976.71,85.19,6.15,3.86,2.29,996.39,976.71,957.03,60.95
2024-09-04,1053.0,1077.5,1051.5,1053.0,3446500,978.72,982.91,976.84,976.84,976.84,70.14,5.64,4.22,1.43,995.92,976.84,957.75,61.72
2024-09-05,1047.0,1076.0,1043.0,1054.0,2681400,979.65,984.95,977.0,977.0,977.0,70.34,5.26,4.43,0.83,995.56,977.0,958.44,64.26
2024-09-06,1047.0,1051.0,1034.0,1042.0,2504600,968.5,983.74,976.53,976.53,976.53,64.87,4.01,4.34,-0.33,994.98,976.53,958.08,64.77
2024-09-09,1011.5,1049.5,1010.0,1046.5,3025700,972.68,981.05,976.33,976.33,976.33,65.94,3.32,4.14,-0.82,994.37,976.33,958.28,65.93
2024-09-10,1051.0,1059.0,1037.5,1041.5,2899200,968.03,973.52,975.91,975.91,975.91,63.63,2.37,3.78,-1.42,993.86,975.91,957.96,67.39
2024-09-11,1032.5,1038.0,1011.0,1023.0,3090700,950.84,967.94,974.72,974.72,974.72,55.82,0.22,3.07,-2.85,995.51,975.38,955.24,67.57
