date,open,high,low,close,volume,adj_close,ma5,ma25,ma75,ma200,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,atr14,week52_high,week52_high_confidence
2024-08-21,5398,5483,5378,5479,4393300,5148.44,5148.44,5148.44,5148.44,5148.44,50.0,0.0,0.0,0.0,5148.44,5148.44,5148.44,,5483.0,partial
2024-08-22,5461,5492,5422,5450,3158500,5121.19,5134.81,5134.81,5134.81,5134.81,50.0,-2.17,-0.43,-1.74,5162.06,5134.81,5107.56,,5492.0,partial
2024-08-23,5436,5470,5375,5444,4179200,5115.55,5128.39,5128.39,5128.39,5128.39,50.0,-4.3,-1.21,-3.09,5157.12,5128.39,5099.67,,5492.0,partial
2024-08-26,5443,5448,5269,5304,4236900,4984.0,5092.3,5092.3,5092.3,5092.3,50.0,-16.41,-4.25,-12.17,5219.79,5092.3,4964.8,,5492.0,partial
2024-08-27,5303,5382,5266,5334,4700300,5012.19,5076.27,5076.27,5076.27,5076.27,50.0,-23.47,-8.09,-15.38,5207.08,5076.27,4945.46,,5492.0,partial
2024-08-28,5311,5400,5303,5395,3903900,5069.5,5060.49,5075.14,5075.14,5075.14,50.0,-24.16,-11.31,-12.85,5194.66,5075.14,4955.63,,5492.0,partial
2024-08-29,5467,5543,5423,5446,6467400,5117.43,5059.73,5081.19,5081.19,5081.19,50.0,-20.6,-13.16,-7.43,5195.73,5081.19,4966.64,,5543.0,partial
2024-08-30,5460,5527,5437,5506,6018700,5173.81,5071.39,5092.76,5092.76,5092.76,50.0,-13.07,-13.15,0.07,5216.19,5092.76,4969.34,,5543.0,partial
2024-09-02,5571,5595,5464,5550,2712000,5215.15,5117.62,5106.36,5106.36,5106.36,50.0,-3.73,-11.26,7.53,5245.86,5106.36,4966.87,,5595.0,partial
2024-09-03,5550,5690,5542,5659,3195800,5317.58,5178.69,5127.48,5127.48,5127.48,50.0,11.8,-6.65,18.45,5310.71,5127.48,4944.25,,5690.0,partial
2024-09-04,5438,5569,5412,5436,5198000,5108.03,5186.4,5125.72,5125.72,5125.72,50.0,7.11,-3.9,11.01,5300.78,5125.72,4950.66,,5690.0,partial
2024-09-05,5236,5417,5160,5265,4680000,4947.35,5152.38,5110.85,5110.85,5110.85,50.0,-9.45,-5.01,-4.44,5305.31,5110.85,4916.4,,5690.0,partial
2024-09-06,5214,5324,5209,5244,3783700,4927.62,5103.15,5096.76,5096.76,5096.76,50.0,-23.9,-8.79,-15.11,5307.57,5096.76,4885.95,,5690.0,partial
2024-09-09,5019,5134,4955,5111,4311200,4802.64,5020.64,5075.75,5075.75,5075.75,50.0,-44.92,-16.01,-28.9,5329.16,5075.75,4822.34,260.4,5690.0,partial
2024-09-10,5124,5197,5087,5110,3445400,4801.7,4917.47,5057.48,5057.48,5057.48,24.27,-60.94,-25.0,-35.94,5337.88,5057.48,4777.07,269.97,5690.0,partial
2024-09-11,5090,5126,4972,5028,4158800,4724.65,4840.79,5036.68,5036.68,5036.68,22.05,-78.95,-35.79,-43.16,5352.39,5036.68,4720.96,273.85,5690.0,partial
2024-09-12,5128,5190,5085,5159,4317400,4847.74,4820.87,5025.56,5025.56,5025.56,32.64,-82.35,-45.1,-37.24,5344.5,5025.56,4706.63,287.53,5690.0,partial
2024-09-13,5118,5138,5039,5073,4838200,4766.93,4788.73,5011.19,5011.19,5011.19,29.78,-90.51,-54.18,-36.33,5343.02,5011.19,4679.37,287.72,5690.0,partial
2024-09-17,5143,5148,4808,4925,6801900,4627.86,4753.78,4991.02,4991.02,4991.02,25.62,-106.97,-64.74,-42.23,5356.56,4991.02,4625.48,294.39,5690.0,partial
2024-09-18,4996,5013,4884,4937,5007600,4639.14,4721.26,4973.42,4973.42,4973.42,26.52,-117.75,-75.34,-42.41,5361.32,4973.42,4585.53,300.87,5690.0,partial
2024-09-19,5107,5244,5087,5188,7100900,4874.99,4751.33,4968.74,4968.74,4968.74,42.21,-106.03,-81.48,-24.55,5341.23,4959.75,4578.27,322.59,5690.0,partial
