date,open,high,low,close,volume,adj_close
2026-05-14,224.3,225.9,220.6,221.9,71239600,221.9
2026-05-15,221.9,225.0,220.8,225.0,85367500,225.0
2026-05-18,221.2,226.7,221.1,225.0,68096600,225.0
2026-05-19,226.0,229.9,225.7,229.3,74187500,229.3
2026-05-20,229.5,229.6,226.0,226.4,65664000,226.4
2026-05-21,226.4,227.7,224.5,224.5,55184600,224.5
2026-05-22,224.2,225.0,222.5,223.0,54460900,223.0
2026-05-25,222.5,223.2,217.5,217.6,66248800,217.6
2026-05-26,217.0,218.5,215.4,216.5,63372100,216.5
2026-05-27,217.0,218.7,215.4,218.7,73251200,218.7
2026-05-28,218.7,219.7,216.1,217.4,70482900,217.4
2026-05-29,217.0,218.9,215.3,215.3,136818000,215.3
2026-06-01,218.1,218.2,214.0,216.1,76795100,216.1
2026-06-02,215.9,218.5,214.2,217.6,70415000,217.6
2026-06-03,217.6,218.7,216.1,218.7,64130600,218.7
2026-06-04,217.8,217.8,213.2,213.9,71795500,213.9
2026-06-05,215.0,215.2,211.6,211.7,72083300,211.7
2026-06-08,213.8,214.8,212.7,213.8,68235600,213.8
2026-06-09,214.0,214.0,211.4,211.5,70580700,211.5
2026-06-10,212.5,214.8,210.6,214.8,72504400,214.8
2026-06-11,215.2,216.3,214.1,215.0,77635100,215.0
2026-06-12,212.8,214.0,211.6,213.5,91852800,213.5
2026-06-15,213.4,214.7,210.2,210.2,84122600,210.2
2026-06-16,210.0,211.6,207.5,211.6,82870100,211.6
2026-06-17,212.3,212.6,209.8,210.1,66482100,210.1
2026-06-18,210.2,210.3,208.3,210.1,73930500,210.1
2026-06-19,210.5,210.6,208.9,210.6,99237900,210.6
2026-06-22,210.5,210.5,208.0,208.8,54973100,208.8
2026-06-23,207.0,208.0,205.2,205.6,104746100,205.6
2026-06-24,205.3,208.0,204.4,205.3,70123700,205.3
2026-06-25,205.4,206.5,202.9,203.3,91217500,203.3
2026-06-26,203.0,205.7,202.6,204.7,76751500,204.7
2026-06-29,205.9,208.1,205.4,207.8,122364200,207.8
2026-06-30,207.8,208.7,205.7,208.1,99272900,208.1
2026-07-01,207.9,207.9,205.6,206.4,79153800,206.4
2026-07-02,208.2,210.1,207.3,210.1,82530600,210.1
2026-07-03,212.1,212.5,209.1,209.1,74595100,209.1
2026-07-06,209.5,210.7,208.2,210.4,51349000,210.4
2026-07-07,211.5,212.6,209.8,211.6,93421600,211.6
2026-07-08,213.0,215.0,212.6,213.1,74012400,213.1
2026-07-09,212.8,216.8,211.5,214.4,80955200,214.4
2026-07-10,213.9,214.4,211.4,211.4,70035100,211.4
2026-07-13,212.3,214.9,211.9,214.6,58455000,214.6
2026-07-14,216.0,221.9,215.6,218.8,120033900,218.8
2026-07-15,219.0,221.4,217.6,220.0,80174900,220.0
2026-07-16,220.9,223.0,218.7,219.6,84607500,219.6
2026-07-17,222.2,223.0,218.7,220.5,95105200,220.5
2026-07-21,222.8,226.0,221.6,222.1,84837400,222.1
2026-07-22,220.8,222.4,219.3,221.4,66962000,221.4
2026-07-23,221.6,221.6,218.3,219.5,61954200,219.5
2026-07-24,220.1,221.6,218.9,221.6,56673700,221.6
2026-07-27,225.0,229.2,224.5,228.3,81127600,228.3
2026-07-28,229.1,232.0,227.6,230.8,92751400,230.8
2026-07-29,232.2,237.7,230.8,235.9,105136700,235.9
2026-07-30,233.3,237.2,230.3,232.0,89088900,232.0
2026-07-31,226.0,228.1,221.9,223.4,101869500,223.4
2026-08-03,223.5,224.5,220.1,224.5,80351500,224.5
2026-08-04,223.9,224.1,219.6,220.4,81746800,220.4
2026-08-05,224.1,231.9,221.9,230.8,164354900,230.8
2026-08-06,227.4,229.5,225.4,228.6,85563800,228.6
2026-08-07,231.0,233.5,228.8,230.9,79771100,230.9
2026-08-10,229.6,230.8,227.6,228.4,61617100,228.4
2026-08-12,230.0,231.7,228.8,229.3,68099600,229.3
2026-08-13,232.1,235.1,230.7,233.4,86547000,233.4
2026-08-14,233.8,236.3,231.5,234.9,66398800,234.9
