datetime,open,high,low,close,volume
2026-09-14 09:00:00,8030,8187,8000,8165,348400
2026-09-14 09:15:00,8162,8208,8155,8207,714700
2026-09-14 09:30:00,8209,8215,8157,8191,374200
2026-09-14 09:45:00,8191,8193,8160,8188,268100
2026-09-14 10:00:00,8187,8205,8174,8174,277600
2026-09-14 10:15:00,8174,8198,8174,8182,155900
2026-09-14 10:30:00,8182,8200,8178,8194,171200
2026-09-14 10:45:00,8193,8195,8147,8154,210100
2026-09-14 11:00:00,8155,8184,8153,8183,150100
2026-09-14 11:15:00,8182,8203,8181,8200,222400
2026-09-14 11:30:00,8202,8202,8202,8202,12200
2026-09-14 12:30:00,8202,8225,8202,8213,394500
2026-09-14 12:45:00,8213,8234,8213,8229,211600
2026-09-14 13:00:00,8230,8235,8220,8232,192700
2026-09-14 13:15:00,8233,8243,8229,8234,190900
2026-09-14 13:30:00,8234,8241,8229,8233,168900
2026-09-14 13:45:00,8234,8236,8220,8227,149700
2026-09-14 14:00:00,8226,8235,8225,8231,160700
2026-09-14 14:15:00,8231,8231,8205,8206,152000
2026-09-14 14:30:00,8206,8209,8194,8209,116100
2026-09-14 14:45:00,8206,8220,8206,8214,117300
2026-09-14 15:00:00,8215,8238,8215,8234,157000
2026-09-14 15:15:00,8235,8247,8227,8246,154300
2026-09-15 09:00:00,8235,8240,8172,8173,239800
2026-09-15 09:15:00,8172,8184,8079,8083,387400
2026-09-15 09:30:00,8082,8125,8077,8091,278600
2026-09-15 09:45:00,8091,8131,8087,8126,144000
2026-09-15 10:00:00,8127,8132,8112,8116,160800
2026-09-15 10:15:00,8116,8139,8108,8139,115700
2026-09-15 10:30:00,8139,8146,8127,8146,121700
2026-09-15 10:45:00,8147,8149,8120,8128,134900
2026-09-15 11:00:00,8129,8130,8114,8128,100000
2026-09-15 11:15:00,8129,8146,8127,8144,103000
2026-09-15 11:30:00,8145,8145,8145,8145,6300
2026-09-15 12:30:00,8103,8120,8094,8097,319600
2026-09-15 12:45:00,8097,8108,8092,8108,123600
2026-09-15 13:00:00,8108,8115,8105,8110,90800
2026-09-15 13:15:00,8110,8116,8090,8094,139200
2026-09-15 13:30:00,8093,8106,8090,8106,101800
2026-09-15 13:45:00,8106,8120,8096,8098,116700
2026-09-15 14:00:00,8098,8109,8096,8100,112000
2026-09-15 14:15:00,8101,8101,8086,8098,146700
2026-09-15 14:30:00,8098,8116,8095,8116,128500
2026-09-15 14:45:00,8117,8120,8107,8116,89800
2026-09-15 15:00:00,8117,8126,8107,8113,78900
2026-09-15 15:15:00,8113,8118,8101,8107,103600
2026-09-16 09:00:00,8173,8217,8150,8208,339300
2026-09-16 09:15:00,8210,8210,8161,8181,202300
2026-09-16 09:30:00,8180,8193,8163,8181,160000
2026-09-16 09:45:00,8183,8204,8163,8185,831800
2026-09-16 10:00:00,8185,8193,8173,8182,118100
2026-09-16 10:15:00,8182,8190,8173,8188,118300
2026-09-16 10:30:00,8189,8194,8181,8184,98100
2026-09-16 10:45:00,8184,8185,8171,8179,97300
2026-09-16 11:00:00,8179,8185,8171,8172,80400
2026-09-16 11:15:00,8173,8174,8152,8165,145900
2026-09-16 11:30:00,8162,8162,8161,8161,4800
2026-09-16 12:30:00,8165,8166,8082,8140,359300
2026-09-16 12:45:00,8140,8153,8135,8147,115900
2026-09-16 13:00:00,8146,8163,8146,8159,106500
2026-09-16 13:15:00,8160,8170,8159,8164,106800
2026-09-16 13:30:00,8163,8167,8158,8159,103200
2026-09-16 13:45:00,8160,8162,8148,8150,106900
2026-09-16 14:00:00,8149,8150,8126,8127,125300
2026-09-16 14:15:00,8127,8127,8103,8106,73900
2026-09-16 14:30:00,8105,8105,8068,8075,152400
2026-09-16 14:45:00,8074,8087,8064,8084,129600
2026-09-16 15:00:00,8086,8088,8073,8073,105100
2026-09-16 15:15:00,8073,8087,8069,8084,98000
2026-09-17 09:00:00,8210,8237,8184,8234,311100
2026-09-17 09:15:00,8235,8318,8228,8308,549900
2026-09-17 09:30:00,8306,8317,8287,8291,303400
2026-09-17 09:45:00,8290,8311,8271,8303,310800
2026-09-17 10:00:00,8304,8310,8270,8293,159700
2026-09-17 10:15:00,8294,8300,8283,8286,127200
2026-09-17 10:30:00,8285,8286,8251,8256,118700
2026-09-17 10:45:00,8255,8258,8242,8258,124700
2026-09-17 11:00:00,8257,8277,8254,8275,110400
2026-09-17 11:15:00,8274,8300,8274,8297,134200
2026-09-17 11:30:00,8297,8297,8297,8297,2800
2026-09-17 12:30:00,8300,8337,8300,8333,382900
2026-09-17 12:45:00,8333,8340,8311,8321,211000
2026-09-17 13:00:00,8321,8322,8285,8294,136900
2026-09-17 13:15:00,8294,8297,8278,8287,99400
2026-09-17 13:30:00,8287,8289,8273,8277,133100
2026-09-17 13:45:00,8277,8279,8264,8272,114500
2026-09-17 14:00:00,8272,8281,8266,8269,111000
2026-09-17 14:15:00,8269,8269,8244,8250,105500
2026-09-17 14:30:00,8251,8270,8241,8266,90000
2026-09-17 14:45:00,8265,8265,8246,8252,113200
2026-09-17 15:00:00,8252,8265,8252,8264,115000
2026-09-17 15:15:00,8263,8286,8262,8284,143400
2026-09-18 09:00:00,8289,8301,8240,8247,217800
2026-09-18 09:15:00,8245,8278,8233,8245,257500
2026-09-18 09:30:00,8245,8253,8218,8221,221400
2026-09-18 09:45:00,8222,8229,8190,8209,213000
2026-09-18 10:00:00,8210,8228,8200,8227,146700
2026-09-18 10:15:00,8226,8230,8196,8212,377200
2026-09-18 10:30:00,8212,8212,8182,8191,173900
2026-09-18 10:45:00,8191,8214,8185,8209,135500
2026-09-18 11:00:00,8210,8214,8201,8203,91800
2026-09-18 11:15:00,8204,8216,8202,8213,101600
2026-09-18 11:30:00,8214,8214,8214,8214,4200
