datetime,open,high,low,close,volume
2026-09-04 09:00:00,8709,8758,8596,8612,926100
2026-09-04 09:15:00,8611,8660,8580,8656,800900
2026-09-04 09:30:00,8654,8692,8646,8653,377700
2026-09-04 09:45:00,8650,8658,8622,8631,311600
2026-09-04 10:00:00,8629,8645,8587,8644,500600
2026-09-04 10:15:00,8643,8656,8628,8655,232300
2026-09-04 10:30:00,8655,8667,8622,8665,228600
2026-09-04 10:45:00,8664,8687,8646,8649,249000
2026-09-04 11:00:00,8649,8680,8648,8677,130700
2026-09-04 11:15:00,8679,8686,8666,8676,153700
2026-09-04 11:30:00,8678,8678,8678,8678,27100
2026-09-04 12:30:00,8661,8694,8648,8690,316100
2026-09-04 12:45:00,8690,8702,8683,8688,228300
2026-09-04 13:00:00,8690,8720,8683,8710,280300
2026-09-04 13:15:00,8711,8729,8704,8719,175000
2026-09-04 13:30:00,8720,8746,8713,8720,244700
2026-09-04 13:45:00,8719,8738,8710,8738,172200
2026-09-04 14:00:00,8738,8757,8735,8751,247300
2026-09-04 14:15:00,8752,8772,8750,8767,209300
2026-09-04 14:30:00,8766,8772,8758,8769,162800
2026-09-04 14:45:00,8769,8782,8769,8773,216700
2026-09-04 15:00:00,8772,8793,8768,8781,234000
2026-09-04 15:15:00,8782,8788,8770,8786,191200
2026-09-07 09:00:00,8774,8854,8718,8734,987200
2026-09-07 09:15:00,8734,8771,8725,8730,482700
2026-09-07 09:30:00,8729,8762,8716,8717,473600
2026-09-07 09:45:00,8718,8738,8708,8719,333000
2026-09-07 10:00:00,8719,8757,8706,8753,339100
2026-09-07 10:15:00,8754,8779,8751,8768,262000
2026-09-07 10:30:00,8770,8776,8724,8736,275300
2026-09-07 10:45:00,8735,8739,8715,8722,188200
2026-09-07 11:00:00,8722,8740,8709,8735,239100
2026-09-07 11:15:00,8736,8743,8721,8724,129700
2026-09-07 11:30:00,8723,8723,8723,8723,25400
2026-09-07 12:30:00,8712,8722,8687,8705,491900
2026-09-07 12:45:00,8706,8713,8678,8692,259800
2026-09-07 13:00:00,8693,8701,8686,8692,166000
2026-09-07 13:15:00,8691,8707,8686,8705,122600
2026-09-07 13:30:00,8704,8706,8689,8698,181200
2026-09-07 13:45:00,8698,8700,8677,8691,224300
2026-09-07 14:00:00,8690,8710,8690,8705,203000
2026-09-07 14:15:00,8704,8704,8676,8682,208200
2026-09-07 14:30:00,8681,8699,8673,8696,141800
2026-09-07 14:45:00,8696,8717,8692,8692,255300
2026-09-07 15:00:00,8692,8703,8689,8702,140000
2026-09-07 15:15:00,8702,8715,8698,8706,137200
2026-09-08 09:00:00,8553,8620,8534,8609,309300
2026-09-08 09:15:00,8609,8722,8608,8710,631500
2026-09-08 09:30:00,8713,8731,8694,8719,347700
2026-09-08 09:45:00,8719,8749,8717,8730,305900
2026-09-08 10:00:00,8730,8767,8723,8766,324900
2026-09-08 10:15:00,8766,8776,8731,8740,366200
2026-09-08 10:30:00,8741,8745,8722,8734,164100
2026-09-08 10:45:00,8733,8774,8731,8772,176500
2026-09-08 11:00:00,8771,8776,8749,8749,132100
2026-09-08 11:15:00,8748,8759,8728,8729,112600
2026-09-08 11:30:00,8729,8729,8728,8728,7800
2026-09-08 12:30:00,8735,8751,8716,8729,307200
2026-09-08 12:45:00,8730,8736,8722,8735,129900
2026-09-08 13:00:00,8734,8736,8717,8720,139000
2026-09-08 13:15:00,8719,8730,8714,8725,106400
2026-09-08 13:30:00,8724,8742,8721,8735,114100
2026-09-08 13:45:00,8733,8739,8723,8727,95000
2026-09-08 14:00:00,8726,8729,8709,8710,137900
2026-09-08 14:15:00,8709,8729,8704,8709,137100
2026-09-08 14:30:00,8708,8714,8687,8689,233700
2026-09-08 14:45:00,8688,8691,8670,8674,228900
2026-09-08 15:00:00,8675,8681,8643,8656,348600
2026-09-08 15:15:00,8657,8659,8640,8644,210100
2026-09-09 09:00:00,8645,8676,8613,8644,447700
2026-09-09 09:15:00,8644,8673,8604,8651,434500
2026-09-09 09:30:00,8649,8665,8603,8658,381300
2026-09-09 09:45:00,8658,8689,8640,8662,338500
2026-09-09 10:00:00,8661,8675,8630,8635,263300
2026-09-09 10:15:00,8636,8657,8628,8634,149000
2026-09-09 10:30:00,8636,8638,8602,8605,187500
2026-09-09 10:45:00,8605,8608,8581,8606,181000
2026-09-09 11:00:00,8604,8626,8595,8607,155800
2026-09-09 11:15:00,8608,8629,8605,8622,113000
2026-09-09 11:30:00,8622,8626,8620,8626,27500
2026-09-09 12:30:00,8631,8631,8553,8553,370700
2026-09-09 12:45:00,8554,8572,8535,8561,260200
2026-09-09 13:00:00,8560,8572,8545,8547,163700
2026-09-09 13:15:00,8547,8563,8544,8553,155800
2026-09-09 13:30:00,8552,8554,8534,8539,173600
2026-09-09 13:45:00,8539,8545,8530,8541,149000
2026-09-09 14:00:00,8542,8542,8513,8521,197600
2026-09-09 14:15:00,8521,8521,8501,8519,175300
2026-09-09 14:30:00,8519,8520,8495,8496,219800
2026-09-09 14:45:00,8496,8524,8494,8513,168400
2026-09-09 15:00:00,8511,8511,8483,8486,237700
2026-09-09 15:15:00,8486,8499,8484,8491,159900
2026-09-10 09:00:00,8495,8528,8460,8508,259500
2026-09-10 09:15:00,8507,8531,8474,8531,358800
2026-09-10 09:30:00,8525,8569,8516,8568,287200
2026-09-10 09:45:00,8568,8598,8556,8562,281700
2026-09-10 10:00:00,8561,8601,8561,8591,231200
2026-09-10 10:15:00,8591,8591,8556,8558,167300
2026-09-10 10:30:00,8559,8571,8520,8570,256500
2026-09-10 10:45:00,8569,8597,8559,8591,189300
2026-09-10 11:00:00,8591,8615,8591,8611,243000
2026-09-10 11:15:00,8610,8618,8600,8616,123100
2026-09-10 11:30:00,8615,8615,8614,8614,7800
2026-09-10 12:30:00,8614,8652,8607,8651,534500
2026-09-10 12:45:00,8652,8653,8633,8637,169000
2026-09-10 13:00:00,8638,8647,8624,8634,208700
2026-09-10 13:15:00,8635,8657,8635,8655,194200
2026-09-10 13:30:00,8654,8672,8650,8663,182000
2026-09-10 13:45:00,8662,8664,8650,8663,146200
2026-09-10 14:00:00,8662,8673,8658,8668,182600
2026-09-10 14:15:00,8668,8671,8655,8666,177900
2026-09-10 14:30:00,8666,8666,8634,8636,164300
2026-09-10 14:45:00,8635,8643,8600,8605,315000
2026-09-10 15:00:00,8606,8616,8595,8611,206300
2026-09-10 15:15:00,8611,8627,8609,8625,127700
