datetime,open,high,low,close,volume
2026-08-26 09:00:00,5107,5115,5047,5064,1597700
2026-08-26 09:15:00,5064,5128,5058,5079,1897400
2026-08-26 09:30:00,5079,5103,5047,5075,1396300
2026-08-26 09:45:00,5074,5093,5043,5055,1467700
2026-08-26 10:00:00,5055,5104,5053,5093,1295800
2026-08-26 10:15:00,5092,5111,5083,5110,996400
2026-08-26 10:30:00,5110,5135,5105,5118,1081400
2026-08-26 10:45:00,5119,5185,5112,5182,1843800
2026-08-26 11:00:00,5182,5213,5159,5200,2090700
2026-08-26 11:15:00,5199,5230,5194,5225,1444200
2026-08-26 11:30:00,5225,5225,5225,5225,66500
2026-08-26 12:30:00,5208,5232,5192,5200,1900300
2026-08-26 12:45:00,5201,5224,5201,5214,943900
2026-08-26 13:00:00,5214,5230,5205,5219,950000
2026-08-26 13:15:00,5220,5235,5207,5208,1042600
2026-08-26 13:30:00,5208,5212,5185,5196,886300
2026-08-26 13:45:00,5195,5233,5182,5233,1436500
2026-08-26 14:00:00,5232,5233,5205,5205,793200
2026-08-26 14:15:00,5205,5209,5183,5198,1032300
2026-08-26 14:30:00,5198,5199,5168,5193,851100
2026-08-26 14:45:00,5193,5208,5171,5187,923600
2026-08-26 15:00:00,5187,5199,5177,5181,686400
2026-08-26 15:15:00,5180,5183,5165,5168,600600
2026-08-27 09:00:00,5287,5335,5215,5241,2752200
2026-08-27 09:15:00,5241,5269,5190,5197,2488200
2026-08-27 09:30:00,5197,5201,5123,5142,2212700
2026-08-27 09:45:00,5143,5143,5074,5094,2274200
2026-08-27 10:00:00,5094,5120,5079,5099,1714600
2026-08-27 10:15:00,5101,5144,5099,5132,1524000
2026-08-27 10:30:00,5132,5179,5115,5145,1846000
2026-08-27 10:45:00,5145,5170,5132,5146,1038400
2026-08-27 11:00:00,5146,5148,5115,5147,888300
2026-08-27 11:15:00,5148,5166,5135,5139,705200
2026-08-27 11:30:00,5136,5136,5136,5136,36600
2026-08-27 12:30:00,5160,5191,5148,5156,1515600
2026-08-27 12:45:00,5156,5204,5154,5185,1455800
2026-08-27 13:00:00,5185,5196,5173,5182,729300
2026-08-27 13:15:00,5181,5188,5166,5166,510000
2026-08-27 13:30:00,5167,5179,5153,5168,648100
2026-08-27 13:45:00,5167,5177,5161,5173,474600
2026-08-27 14:00:00,5174,5221,5171,5216,1536800
2026-08-27 14:15:00,5217,5228,5193,5205,1011700
2026-08-27 14:30:00,5204,5222,5190,5200,812900
2026-08-27 14:45:00,5200,5230,5200,5220,784300
2026-08-27 15:00:00,5221,5224,5204,5207,688800
2026-08-27 15:15:00,5207,5219,5202,5210,733600
2026-08-28 09:00:00,5209,5240,5178,5218,1043100
2026-08-28 09:15:00,5219,5219,5181,5200,1325300
2026-08-28 09:30:00,5199,5206,5172,5184,877900
2026-08-28 09:45:00,5184,5197,5161,5166,841200
2026-08-28 10:00:00,5166,5245,5152,5245,1618100
2026-08-28 10:15:00,5245,5263,5208,5208,1832700
2026-08-28 10:30:00,5208,5240,5195,5230,1032400
2026-08-28 10:45:00,5231,5232,5212,5218,413700
2026-08-28 11:00:00,5219,5226,5206,5215,373100
2026-08-28 11:15:00,5216,5247,5216,5229,579700
2026-08-28 11:30:00,5228,5228,5228,5228,22800
2026-08-28 12:30:00,5246,5253,5191,5198,1200500
2026-08-28 12:45:00,5198,5213,5178,5196,1068100
2026-08-28 13:00:00,5197,5199,5173,5183,725800
2026-08-28 13:15:00,5183,5195,5176,5183,447000
2026-08-28 13:30:00,5183,5190,5177,5179,390200
2026-08-28 13:45:00,5178,5189,5172,5183,462000
2026-08-28 14:00:00,5183,5183,5148,5153,832900
2026-08-28 14:15:00,5153,5160,5141,5159,582300
2026-08-28 14:30:00,5159,5159,5138,5144,777100
2026-08-28 14:45:00,5143,5155,5136,5147,632800
2026-08-28 15:00:00,5147,5170,5144,5160,891000
2026-08-28 15:15:00,5161,5166,5149,5154,572900
2026-08-31 09:00:00,4900,4957,4883,4933,2277000
2026-08-31 09:15:00,4932,5014,4929,5005,2605600
2026-08-31 09:30:00,5005,5050,5003,5011,1829700
2026-08-31 09:45:00,5011,5047,5000,5012,1403400
2026-08-31 10:00:00,5012,5027,4994,5010,1150400
2026-08-31 10:15:00,5011,5034,5007,5027,1025900
2026-08-31 10:30:00,5027,5031,5007,5017,765100
2026-08-31 10:45:00,5017,5021,5002,5012,691500
2026-08-31 11:00:00,5012,5049,5009,5046,771300
2026-08-31 11:15:00,5045,5058,5025,5033,733000
2026-08-31 11:30:00,5034,5034,5032,5032,39100
2026-08-31 12:30:00,5066,5100,5061,5094,1506500
2026-08-31 12:45:00,5093,5139,5088,5134,1270500
2026-08-31 13:00:00,5134,5150,5115,5149,1111400
2026-08-31 13:15:00,5149,5183,5144,5181,1424900
2026-08-31 13:30:00,5181,5201,5174,5199,1090600
2026-08-31 13:45:00,5199,5199,5166,5194,979600
2026-08-31 14:00:00,5194,5197,5179,5187,602500
2026-08-31 14:15:00,5187,5205,5187,5197,747700
2026-08-31 14:30:00,5197,5209,5188,5196,792900
2026-08-31 14:45:00,5196,5206,5184,5197,631600
2026-08-31 15:00:00,5197,5205,5188,5202,714800
2026-08-31 15:15:00,5202,5213,5197,5209,879800
2026-09-01 09:00:00,5092,5141,5078,5121,1436600
2026-09-01 09:15:00,5120,5158,5116,5138,1734500
2026-09-01 09:30:00,5140,5183,5138,5170,1397400
2026-09-01 09:45:00,5170,5190,5158,5175,1045600
2026-09-01 10:00:00,5176,5246,5174,5238,1887400
2026-09-01 10:15:00,5237,5264,5222,5234,1505500
2026-09-01 10:30:00,5235,5279,5225,5277,1254600
2026-09-01 10:45:00,5278,5284,5255,5275,1055200
2026-09-01 11:00:00,5274,5279,5253,5265,732600
2026-09-01 11:15:00,5266,5267,5214,5221,719500
2026-09-01 11:30:00,5220,5220,5220,5220,36600
2026-09-01 12:30:00,5240,5273,5206,5245,1937300
2026-09-01 12:45:00,5245,5269,5245,5254,625600
2026-09-01 13:00:00,5255,5262,5239,5245,497500
2026-09-01 13:15:00,5245,5271,5241,5261,591400
2026-09-01 13:30:00,5260,5260,5243,5253,594200
2026-09-01 13:45:00,5252,5264,5243,5245,658800
2026-09-01 14:00:00,5246,5263,5245,5261,503300
2026-09-01 14:15:00,5261,5280,5258,5279,648500
2026-09-01 14:30:00,5278,5298,5276,5297,984700
2026-09-01 14:45:00,5297,5310,5280,5299,1228500
2026-09-01 15:00:00,5300,5308,5277,5279,791100
2026-09-01 15:15:00,5278,5281,5255,5265,717900
